Cluster,PC1,PC2,PC3,PC4,PC5
1,7.71903665503955,-0.513850277260772,-0.357776942254338,-0.24851008856927,0.0360224578019988
2,-0.566119527267933,1.01178347051125,0.0890238017646347,0.042826696282134,0.0393661136666946
3,-1.31841067815066,-4.15259683528796,-0.212198843158902,-0.0646447026697823,-0.189018602093132
