Center,Scenario,N,Macro_AUC,Labile_Hypotension_AUC,Stable_Hemodynamics_AUC,Labile_Hypertension_AUC,Accuracy,Balanced_accuracy,Multiclass_Brier
MOVER 10-fold cross-validation,Preoperative model,21164,0.660764692724322,0.644796127323537,0.660260994074364,0.677236956775066,0.744896994896995,0.335559498411147,0.388299910243792
INSPIRE frozen external validation,Preoperative model,85064,0.586800591127396,0.59010947579265,0.580637951014517,0.589654346575021,0.73362409479921,0.333373907368219,0.417992285601771
MOVER 10-fold cross-validation,Preoperative + first 15 min MAP,20989,0.818958534287839,0.792142113576356,0.805648103451438,0.859085385835724,0.803706703511363,0.541639551829482,0.29306753821797
INSPIRE frozen external validation,Preoperative + first 15 min MAP,83695,0.781608517518367,0.789376979005567,0.751133498107653,0.804315075441882,0.765254794193202,0.536186131031979,0.340587148725379
MOVER 10-fold cross-validation,Preoperative + first 30 min MAP,21164,0.86723198569309,0.86683510833426,0.848873720967556,0.885987127777455,0.826734076734077,0.615803464874377,0.259988398907435
INSPIRE frozen external validation,Preoperative + first 30 min MAP,85064,0.834504763363122,0.869393638918558,0.798187021778827,0.835933629391982,0.781940656446911,0.625328028726791,0.311780821981168
MOVER 10-fold cross-validation,Preoperative + first 60 min MAP,21164,0.919288308550385,0.92973695699391,0.901434686159913,0.926693282497332,0.854706104706105,0.696757008208484,0.213612075137762
INSPIRE frozen external validation,Preoperative + first 60 min MAP,85064,0.886178900045513,0.92585134158109,0.852995948842614,0.879689409712835,0.808226746919966,0.703090110134098,0.267833944992553
