Center,Group,Total_N,BMI_nonmissing_N,BMI_missing_N,BMI_missing_percent,BMI_mean,BMI_SD,BMI_median,BMI_Q1,BMI_Q3,SMD_1 vs 2,SMD_1 vs 3,SMD_2 vs 3,Old_SMD_1 vs 2,Old_SMD_1 vs 3,Old_SMD_2 vs 3,Maximum_absolute_pairwise_SMD,Old_maximum_absolute_pairwise_SMD,Height_unit_corrected_N,Weight_unit_corrected_N,BMI_set_missing_outside_10_80_N,Height_unresolved_or_missing_N,Weight_unresolved_or_missing_N
MOVER,Overall,21164,18718,2446,11.557361557361558,27.716431537546057,6.814490051119317,26.619336344467904,23.098614260519025,30.99984882842026,-0.09006602255013078,-0.15854931031690547,-0.07175410843515517,-0.08439155432335438,-0.15252989532120548,-0.07182203966086179,0.15854931031690547,0.15252989532120548,18782.0,20782.0,1.0,,
MOVER,Labile Hypotension,1775,1617,158,8.901408450704224,27.074697479323184,6.853706415075182,25.82716389922576,22.498946235211694,30.275983904934368,,,,,,,,,,,,,
MOVER,Stable Hemodynamics,15767,13984,1783,11.308428997272784,27.68639154406485,6.728957720575852,26.62001973473395,23.124609374999995,30.97178473578984,,,,,,,,,,,,,
MOVER,Labile Hypertension,3622,3117,505,13.94257316399779,28.184113039306578,7.137986622284004,27.011635826644184,23.353350117622938,31.483013241447104,,,,,,,,,,,,,
INSPIRE,Overall,85064,83806,1258,1.4788864854697639,23.767556045479775,3.7394192524857557,23.53036634346221,21.30394857667585,25.88757396449704,-0.07421042179620896,-0.29581163231396984,-0.23469631242265526,-0.006017653031492956,-0.019799184222345282,0.005338631584544727,0.29581163231396984,0.019799184222345282,112.0,,1.0,548.0,1103.0
INSPIRE,Labile Hypotension,6814,6677,137,2.0105664807748753,23.340027165969722,4.104228084535842,23.046874999999996,20.66115702479339,25.61728395061728,,,,,,,,,,,,,
INSPIRE,Stable Hemodynamics,62418,61543,875,1.4018392130475184,23.629425747428304,3.6838395677873814,23.40750912892856,21.20310522895934,25.72103221453871,,,,,,,,,,,,,
INSPIRE,Labile Hypertension,15832,15586,246,1.5538150581101566,24.496130616342743,3.7018945350817063,24.243918474687703,22.136739730004358,26.573129251700685,,,,,,,,,,,,,
