Center,Cohort_N,Laboratory_evaluable_N,Laboratory_evaluable_percent,Laboratory_proxy_events,Documented_events,Laboratory_documented_overlap,Final_harmonized_MACE_events,Final_harmonized_MACE_percent,Previous_MACE_events,Previous_MACE_percent,Absolute_event_change
MOVER,21164,858,4.054054054054054,359,67,11,415,1.960876960876961,1184,5.594405594405594,-769
INSPIRE,85064,2256,2.652120756136556,784,235,39,980,1.1520737327188941,1871,2.1995203611398475,-891
