Center,Outcome,Analysis,Comparison,Analysis_N,Events,Unique_patients,OR,CI_low,CI_high,P_value,OR_95CI
MOVER,Pulmonary complications,Primary complete-case; model-based SE,Labile Hypertension vs Stable Hemodynamics,13724,469,9305,0.89767786259375,0.686672972486281,1.17352157035274,0.429773483072439,0.90 (0.69-1.17)
MOVER,Pulmonary complications,Primary complete-case; patient-clustered robust SE,Labile Hypotension vs Stable Hemodynamics,13724,469,9305,1.2478782773902,0.925812626349046,1.68198202407669,0.145972541634235,1.25 (0.93-1.68)
MOVER,Pulmonary complications,Primary complete-case; patient-clustered robust SE,Labile Hypertension vs Stable Hemodynamics,13724,469,9305,0.89767786259375,0.63988484539531,1.25932900394454,0.531983966672387,0.90 (0.64-1.26)
MOVER,Pulmonary complications,First eligible operation per patient,Labile Hypotension vs Stable Hemodynamics,8647,214,8647,1.55328188213652,1.05879956179523,2.27869815254058,0.0243087997944288,1.55 (1.06-2.28)
MOVER,Pulmonary complications,First eligible operation per patient,Labile Hypertension vs Stable Hemodynamics,8647,214,8647,1.0833424360178,0.746341033595102,1.57251280694516,0.673704954902212,1.08 (0.75-1.57)
MOVER,Pulmonary complications,Reduced adjustment excluding RCRI,Labile Hypotension vs Stable Hemodynamics,18694,517,13117,1.27771184615936,0.975771495730058,1.67308388178988,0.0748001898462831,1.28 (0.98-1.67)
MOVER,Pulmonary complications,Reduced adjustment excluding RCRI,Labile Hypertension vs Stable Hemodynamics,18694,517,13117,0.912178144532869,0.710599711780958,1.17093907240412,0.470636862742829,0.91 (0.71-1.17)
MOVER,In-hospital death,Primary complete-case; model-based SE,Labile Hypotension vs Stable Hemodynamics,13724,277,9305,1.64031050945584,1.2002245832824,2.24176258752583,0.00190185294565055,1.64 (1.20-2.24)
MOVER,In-hospital death,Primary complete-case; model-based SE,Labile Hypertension vs Stable Hemodynamics,13724,277,9305,0.614887812783521,0.411070803082904,0.919761314776349,0.0179271508733727,0.61 (0.41-0.92)
MOVER,In-hospital death,Primary complete-case; patient-clustered robust SE,Labile Hypotension vs Stable Hemodynamics,13724,277,9305,1.64031050945584,1.18414713995572,2.27219952372801,0.00291427216568846,1.64 (1.18-2.27)
MOVER,In-hospital death,Primary complete-case; patient-clustered robust SE,Labile Hypertension vs Stable Hemodynamics,13724,277,9305,0.614887812783521,0.420135552403411,0.899916753406924,0.0123255570437531,0.61 (0.42-0.90)
MOVER,In-hospital death,First eligible operation per patient,Labile Hypotension vs Stable Hemodynamics,8647,133,8647,1.77556570195004,1.15179427228685,2.73714988674312,0.00932248307750702,1.78 (1.15-2.74)
MOVER,In-hospital death,First eligible operation per patient,Labile Hypertension vs Stable Hemodynamics,8647,133,8647,0.662657466608488,0.388986685945537,1.12886876059676,0.130022690413538,0.66 (0.39-1.13)
MOVER,In-hospital death,Reduced adjustment excluding RCRI,Labile Hypotension vs Stable Hemodynamics,18694,293,13117,1.73086278331957,1.27953984069434,2.34137764171145,0.000372025933748063,1.73 (1.28-2.34)
MOVER,In-hospital death,Reduced adjustment excluding RCRI,Labile Hypertension vs Stable Hemodynamics,18694,293,13117,0.602379985390745,0.408339449856911,0.888627456706687,0.0106108214094024,0.60 (0.41-0.89)
INSPIRE,Major adverse cardiac events,Primary complete-case; model-based SE,Labile Hypotension vs Stable Hemodynamics,83437,936,70071,2.61135397850729,2.22587682439423,3.06358803251464,4.99893911805435e-32,2.61 (2.23-3.06)
INSPIRE,Major adverse cardiac events,Primary complete-case; model-based SE,Labile Hypertension vs Stable Hemodynamics,83437,936,70071,0.632759208947207,0.503379393455946,0.795392544296779,8.80036638974046e-05,0.63 (0.50-0.80)
INSPIRE,Major adverse cardiac events,Primary complete-case; patient-clustered robust SE,Labile Hypotension vs Stable Hemodynamics,83437,936,70071,2.61135397850729,2.21087633065235,3.08437405861312,1.30143202185203e-29,2.61 (2.21-3.08)
INSPIRE,Major adverse cardiac events,Primary complete-case; patient-clustered robust SE,Labile Hypertension vs Stable Hemodynamics,83437,936,70071,0.632759208947207,0.504467366944134,0.793677138984957,7.53102801572463e-05,0.63 (0.50-0.79)
INSPIRE,Major adverse cardiac events,First eligible operation per patient,Labile Hypotension vs Stable Hemodynamics,69985,709,69985,2.52198091535341,2.08882169638918,3.04496441625518,6.49840447447803e-22,2.52 (2.09-3.04)
INSPIRE,Major adverse cardiac events,First eligible operation per patient,Labile Hypertension vs Stable Hemodynamics,69985,709,69985,0.749839534413995,0.586153826068796,0.959235105810271,0.0219503332342688,0.75 (0.59-0.96)
INSPIRE,Major adverse cardiac events,Reduced adjustment excluding RCRI,Labile Hypotension vs Stable Hemodynamics,83806,941,70381,2.68961778214518,2.29827387505195,3.14759867940806,6.02967520743393e-35,2.69 (2.30-3.15)
INSPIRE,Major adverse cardiac events,Reduced adjustment excluding RCRI,Labile Hypertension vs Stable Hemodynamics,83806,941,70381,0.627125441020544,0.499434165000074,0.787463786693794,5.89443382349424e-05,0.63 (0.50-0.79)
INSPIRE,Acute kidney injury,Primary complete-case; model-based SE,Labile Hypotension vs Stable Hemodynamics,83437,3915,70071,2.05630672498898,1.86298825199225,2.26968545975163,1.85038542229002e-46,2.06 (1.86-2.27)
INSPIRE,Acute kidney injury,Primary complete-case; model-based SE,Labile Hypertension vs Stable Hemodynamics,83437,3915,70071,0.855368317430036,0.776618906019967,0.942102944947209,0.00152269946923493,0.86 (0.78-0.94)
INSPIRE,Acute kidney injury,Primary complete-case; patient-clustered robust SE,Labile Hypotension vs Stable Hemodynamics,83437,3915,70071,2.05630672498898,1.86180242670995,2.27113107522748,6.88968251792359e-46,2.06 (1.86-2.27)
INSPIRE,Acute kidney injury,Primary complete-case; patient-clustered robust SE,Labile Hypertension vs Stable Hemodynamics,83437,3915,70071,0.855368317430036,0.774726459490729,0.944404246815126,0.00198671897926956,0.86 (0.77-0.94)
INSPIRE,Acute kidney injury,First eligible operation per patient,Labile Hypotension vs Stable Hemodynamics,69985,3024,69985,2.20010793162058,1.96465443192781,2.46377929477912,1.91660184829832e-42,2.20 (1.96-2.46)
INSPIRE,Acute kidney injury,First eligible operation per patient,Labile Hypertension vs Stable Hemodynamics,69985,3024,69985,0.915655995042609,0.822061077122667,1.01990706602006,0.10922296958645,0.92 (0.82-1.02)
INSPIRE,Acute kidney injury,Reduced adjustment excluding RCRI,Labile Hypotension vs Stable Hemodynamics,83806,3923,70381,2.14669533029157,1.94932358385952,2.36405124282729,2.36540450103094e-54,2.15 (1.95-2.36)
INSPIRE,Acute kidney injury,Reduced adjustment excluding RCRI,Labile Hypertension vs Stable Hemodynamics,83806,3923,70381,0.863783696144246,0.78520577927758,0.950225142778592,0.00261924718812729,0.86 (0.79-0.95)
INSPIRE,Severe acute liver injury,Primary complete-case; model-based SE,Labile Hypotension vs Stable Hemodynamics,83437,1208,70071,2.39815966087195,2.06314489571722,2.78757433419824,4.49377397237655e-30,2.40 (2.06-2.79)
INSPIRE,Severe acute liver injury,Primary complete-case; model-based SE,Labile Hypertension vs Stable Hemodynamics,83437,1208,70071,0.285496022405455,0.222289858246711,0.366674302877433,9.41972982908072e-23,0.29 (0.22-0.37)
INSPIRE,Severe acute liver injury,Primary complete-case; patient-clustered robust SE,Labile Hypotension vs Stable Hemodynamics,83437,1208,70071,2.39815966087195,2.08347649405693,2.76037179946043,3.59979938848137e-34,2.40 (2.08-2.76)
INSPIRE,Severe acute liver injury,Primary complete-case; patient-clustered robust SE,Labile Hypertension vs Stable Hemodynamics,83437,1208,70071,0.285496022405455,0.222231946743844,0.366769854665793,1.0423204823848e-22,0.29 (0.22-0.37)
INSPIRE,Severe acute liver injury,First eligible operation per patient,Labile Hypotension vs Stable Hemodynamics,69985,1041,69985,2.47490336553626,2.1000448646973,2.91667419668466,2.9481742356534e-27,2.47 (2.10-2.92)
INSPIRE,Severe acute liver injury,First eligible operation per patient,Labile Hypertension vs Stable Hemodynamics,69985,1041,69985,0.291368208951732,0.222659545561085,0.381279109205985,2.53988435741285e-19,0.29 (0.22-0.38)
INSPIRE,Severe acute liver injury,Reduced adjustment excluding RCRI,Labile Hypotension vs Stable Hemodynamics,83806,1208,70381,2.36033723703085,2.03166435363849,2.74218123802636,3.05596772254338e-29,2.36 (2.03-2.74)
INSPIRE,Severe acute liver injury,Reduced adjustment excluding RCRI,Labile Hypertension vs Stable Hemodynamics,83806,1208,70381,0.285696836527278,0.222463482073383,0.366903734675743,9.65258469433335e-23,0.29 (0.22-0.37)
INSPIRE,Pulmonary complications,Primary complete-case; model-based SE,Labile Hypotension vs Stable Hemodynamics,83437,726,70071,2.05296255618242,1.70424462203254,2.47303421269449,3.64820075546404e-14,2.05 (1.70-2.47)
INSPIRE,Pulmonary complications,Primary complete-case; model-based SE,Labile Hypertension vs Stable Hemodynamics,83437,726,70071,0.432637389133347,0.317119234042012,0.590235754830696,1.24475623952046e-07,0.43 (0.32-0.59)
INSPIRE,Pulmonary complications,Primary complete-case; patient-clustered robust SE,Labile Hypotension vs Stable Hemodynamics,83437,726,70071,2.05296255618242,1.68465466041609,2.50179182482781,1.00261028410974e-12,2.05 (1.68-2.50)
INSPIRE,Pulmonary complications,Primary complete-case; patient-clustered robust SE,Labile Hypertension vs Stable Hemodynamics,83437,726,70071,0.432637389133347,0.315061737402783,0.594090263130967,2.23934679515203e-07,0.43 (0.32-0.59)
INSPIRE,Pulmonary complications,First eligible operation per patient,Labile Hypotension vs Stable Hemodynamics,69985,489,69985,2.01147650358026,1.59906754900797,2.53024816053927,2.37401749940898e-09,2.01 (1.60-2.53)
INSPIRE,Pulmonary complications,First eligible operation per patient,Labile Hypertension vs Stable Hemodynamics,69985,489,69985,0.431152700970072,0.296606631750874,0.626731271841298,1.0420421234996e-05,0.43 (0.30-0.63)
INSPIRE,Pulmonary complications,Reduced adjustment excluding RCRI,Labile Hypotension vs Stable Hemodynamics,83806,731,70381,2.09221888518153,1.73967341943694,2.51620782073397,4.46218141110578e-15,2.09 (1.74-2.52)
INSPIRE,Pulmonary complications,Reduced adjustment excluding RCRI,Labile Hypertension vs Stable Hemodynamics,83806,731,70381,0.428906846353122,0.314478453828759,0.58497197696333,8.96359426439098e-08,0.43 (0.31-0.58)
INSPIRE,In-hospital death,Primary complete-case; model-based SE,Labile Hypotension vs Stable Hemodynamics,83437,473,70071,2.93220126671055,2.37885057301966,3.61426832185811,6.64664950232097e-24,2.93 (2.38-3.61)
INSPIRE,In-hospital death,Primary complete-case; model-based SE,Labile Hypertension vs Stable Hemodynamics,83437,473,70071,0.452411561721257,0.305049148525017,0.670961457092156,7.99704733151251e-05,0.45 (0.31-0.67)
INSPIRE,In-hospital death,Primary complete-case; patient-clustered robust SE,Labile Hypotension vs Stable Hemodynamics,83437,473,70071,2.93220126671055,2.35535159969342,3.65032730978172,6.27309145698092e-22,2.93 (2.36-3.65)
INSPIRE,In-hospital death,Primary complete-case; patient-clustered robust SE,Labile Hypertension vs Stable Hemodynamics,83437,473,70071,0.452411561721257,0.294353292260034,0.695342048351388,0.000298115097739309,0.45 (0.29-0.70)
INSPIRE,In-hospital death,First eligible operation per patient,Labile Hypotension vs Stable Hemodynamics,69985,270,69985,3.26857104276208,2.48745423027269,4.29497617747589,1.89350113790972e-17,3.27 (2.49-4.29)
INSPIRE,In-hospital death,First eligible operation per patient,Labile Hypertension vs Stable Hemodynamics,69985,270,69985,0.497049046793114,0.299354557642138,0.825301464804445,0.00688852225014848,0.50 (0.30-0.83)
INSPIRE,In-hospital death,Reduced adjustment excluding RCRI,Labile Hypotension vs Stable Hemodynamics,83806,475,70381,2.98976621860917,2.43009498489399,3.67833442622676,3.90139333812904e-25,2.99 (2.43-3.68)
INSPIRE,In-hospital death,Reduced adjustment excluding RCRI,Labile Hypertension vs Stable Hemodynamics,83806,475,70381,0.447472288915523,0.301897354060097,0.663243472175109,6.19922097786222e-05,0.45 (0.30-0.66)

